INFO: at 2026-07-05 15:20:04 on line 38 in player_replay_ingestion.py: Logger initiated successfully.
INFO: at 2026-07-05 15:20:17 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:20:21 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:20:28 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:20:29 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:20:32 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:20:33 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:20:34 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:20:36 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:20:55 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:01 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:19 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:22 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:22 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:23 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:24 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:26 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:26 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:27 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:29 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:30 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:31 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:31 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:33 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:33 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:37 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:41 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:45 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:52 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:53 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:56 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:21:59 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:06 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:07 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:08 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:14 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:16 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:22 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:24 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:28 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:29 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:29 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:37 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:37 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:41 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:46 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:22:49 on line 160 in player_replay_ingestion.py: One team went goalless.
INFO: at 2026-07-05 15:23:05 on line 160 in player_replay_ingestion.py: One team went goalless.
